2025-05-24 14:58:54 - udp - 发送方: ('10.21.163.147', 48290) - 接收方: ('10.21.88.183', 8000) - 数据: 嘿嘿鹅湖也过得好多个大哥大哥
2025-05-24 14:58:54 - udp - 发送方: ('10.21.163.147', 48290) - 接收方: ('10.21.88.183', 8000) - 数据: 嘿嘿鹅湖也过得好多个大哥大哥
2025-05-24 14:58:54 - udp - 发送方: ('10.21.163.147', 48290) - 接收方: ('10.21.88.183', 8000) - 数据: 嘿嘿鹅湖也过得好多个大哥大哥
2025-05-24 14:58:54 - udp - 发送方: ('10.21.163.147', 48290) - 接收方: ('10.21.88.183', 8000) - 数据: 嘿嘿鹅湖也过得好多个大哥大哥
2025-05-24 14:58:55 - udp - 发送方: ('10.21.163.147', 48290) - 接收方: ('10.21.88.183', 8000) - 数据: 嘿嘿鹅湖也过得好多个大哥大哥
2025-05-24 14:58:55 - udp - 发送方: ('10.21.163.147', 48290) - 接收方: ('10.21.88.183', 8000) - 数据: 嘿嘿鹅湖也过得好多个大哥大哥
2025-05-24 15:00:43 - tcp - 发送方: ('10.21.163.147', 8000) - 接收方: ('10.21.88.183', 52384) - 数据: hi
2025-05-24 15:00:50 - tcp - 发送方: ('10.21.163.147', 8000) - 接收方: ('10.21.88.183', 52384) - 数据: 我是手机
2025-05-24 15:00:56 - tcp - 发送方: ('10.21.88.183', 52384) - 接收方: ('10.21.163.147', 8000) - 数据: 我是电脑
2025-05-24 15:02:04 - tcp - 发送方: ('10.21.163.147', 39998) - 接收方: ('10.21.88.183', 8000) - 数据: 我是手机
2025-05-24 15:02:11 - tcp - 发送方: ('10.21.88.183', 8000) - 接收方: ('10.21.163.147', 39998) - 数据: [服务器] 我是电脑
2025-05-24 15:10:14 - udp - 发送方: ('10.21.163.147', 37643) - 接收方: ('10.21.88.183', 8000) - 数据: udp我是手机客户端
2025-05-24 15:10:39 - udp - 发送方: ('10.21.163.147', 37643) - 接收方: ('10.21.88.183', 8000) - 数据: udp服务器无法向客户端发送消息
2025-05-24 15:12:06 - udp - 发送方: ('0.0.0.0', 63101) - 接收方: ('10.21.163.147', 8000) - 数据: udp电脑
2025-05-24 15:12:50 - udp - 发送方: ('0.0.0.0', 63101) - 接收方: ('10.21.163.147', 8000) - 数据: udp电脑 
2025-05-24 15:12:57 - udp - 发送方: ('0.0.0.0', 63101) - 接收方: ('10.21.163.147', 8000) - 数据: 
2025-05-24 15:13:01 - udp - 发送方: ('0.0.0.0', 63101) - 接收方: ('10.21.163.147', 8000) - 数据: 
2025-05-24 15:13:01 - udp - 发送方: ('0.0.0.0', 63101) - 接收方: ('10.21.163.147', 8000) - 数据: 
2025-05-24 15:13:06 - udp - 发送方: ('0.0.0.0', 63101) - 接收方: ('10.21.163.147', 8000) - 数据: 
2025-05-24 15:13:08 - udp - 发送方: ('0.0.0.0', 63101) - 接收方: ('10.21.163.147', 8000) - 数据: 、
2025-05-24 15:13:12 - udp - 发送方: ('0.0.0.0', 63101) - 接收方: ('10.21.163.147', 8000) - 数据: 偶遇ii
2025-05-24 15:13:51 - udp - 发送方: ('0.0.0.0', 63101) - 接收方: ('10.21.163.147', 8000) - 数据: udp手机服务器无法发送消息
